Strategy,Date,TH Signal On,US Count,TH Count,US Group Cap,TH Group Cap,Stock Cap,Concentration Penalty,US Weight,TH Weight,Gold Weight,BTC Weight,Cash Weight,Raw Max Stock Weight,Case
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-03-29,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999976,0.3000000000000026,0.0,0.0,0.0,0.04999999999999952,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-04-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.29999999999999954,0.0,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-05-31,True,50,50,0.7,0.3,0.05,0.02,0.699999999999988,0.3000000000000099,2.001624781214939e-15,0.0,0.0,0.0499999999999998,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-06-28,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.29999999999999954,0.0,0.0,0.049999999999999926,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-07-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.2999999999999997,0.0,0.0,0.04999999999999996,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-08-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000004,0.0,0.29999999999999966,0.0,0.0,0.04999999999999996,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-09-30,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000007,0.0,0.2999999999999992,0.0,0.0,0.04999999999999991,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-10-31,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999967,0.30000000000000326,5.904064573791419e-17,0.0,0.0,0.049999999999999704,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-11-29,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000008,0.0,0.29999999999999927,0.0,0.0,0.04999999999999989,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2013-12-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000007,0.0,0.2999999999999993,0.0,0.0,0.04999999999999991,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-01-31,False,50,0,0.7,0.3,0.05,0.02,0.7000000000000002,0.0,0.2999999999999997,0.0,0.0,0.04999999999999996,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-02-28,True,50,50,0.7,0.3,0.05,0.02,0.6706985286691711,0.10000000000000615,0.2293014713308225,0.0,0.0,0.04999999999999982,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-03-31,True,50,50,0.7,0.3,0.05,0.02,0.5999999999999991,0.3000000000000004,0.10000000000000056,0.0,0.0,0.04999999999999986,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-04-30,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999968,0.3000000000000025,6.948914165323116e-16,0.0,0.0,0.04999999999999982,Stock cap 5%
One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 + daily exposure,2014-05-30,True,50,50,0.7,0.3,0.05,0.02,0.6999999999999975,0.3000000000000026,0.0,0.0,0.0,0.04999999999999977,Stock cap 5%
