,One-model US cap 70% / TH cap 30%,One-model US cap 70% / TH cap 30% + daily exposure,One-model US cap 70% / TH cap 40%,One-model US cap 70% / TH cap 40% + daily exposure,One-model US cap 80% / TH cap 30%,One-model US cap 80% / TH cap 30% + daily exposure,One-model US cap 80% / TH cap 40%,One-model US cap 80% / TH cap 40% + daily exposure
2008-07-02,11101.572296609329,9964.284363847153,11053.05714642547,9939.74331927946,10865.559368778637,9838.40231065829,10818.075614456757,9814.171294030857
2008-07-03,11061.866524550931,9946.465284121085,11013.524893166314,9921.968126180243,10836.841828819566,9825.400922423205,10789.483573477155,9801.201926935439
2008-07-04,11093.245128612774,9960.572586684924,11044.76636911261,9936.04068385641,10867.582117384125,9839.336516593017,10820.0895234163,9815.103199108307
2008-07-07,11079.196890269806,9954.265663142362,11030.779523189998,9929.749293641287,10861.69370435578,9836.670878702787,10814.22684343566,9812.444126421857
2008-07-08,11086.548828689101,9957.568391169021,11038.099332791227,9933.043887376238,10925.81163999928,9865.704427590934,10878.064576265811,9841.40616853648
2008-07-09,11002.321039603668,9919.743095704449,10954.23962884977,9895.311751864541,10816.17468472703,9816.204864963607,10768.906747200695,9792.028518460318
2008-07-10,11197.270908183938,10007.626943389705,11148.33754404003,9982.97915034541,11024.787941947758,9910.868206214816,10976.608340298302,9886.458713218486
2008-07-11,11136.229878462622,9980.349053147504,11087.56327065243,9955.768442842653,10943.65117105315,9874.398759035943,10895.826146500453,9850.079086698808
2008-07-14,11218.844181060134,10033.795139149977,11169.816539227844,10009.082896433742,11004.793676310192,9912.817715282506,10956.701451919942,9888.403420837205
2008-07-15,10995.965816935632,9937.334395000322,10947.91217923711,9912.859725534183,10759.102537486313,9804.274062729355,10712.084011861034,9780.12710061778
2008-07-16,10892.3292184336,9866.263721649784,10844.728484612704,9841.964092206437,10675.757030226025,9750.355224633075,10629.10273413153,9726.341059313212
2008-07-17,10888.289914443334,9876.782881448391,10840.70683284633,9852.457344357288,10633.895766999503,9739.374572579902,10587.424409479192,9715.387451525366
2008-07-18,10818.057694557272,9825.224397115437,10770.781535854114,9801.02584345994,10575.160003063158,9699.523459835447,10528.94532764176,9675.634488149584
2008-07-21,10974.549553423536,9902.813260475272,10926.589507264385,9878.423613141178,10729.21482922322,9774.466594161137,10682.326916348582,9750.393044911089
2008-07-22,10745.546427351637,9770.35264833981,10698.587151241729,9746.289238361775,10497.943296669637,9649.945314760953,10452.06606720859,9626.178449167088
2008-07-23,10513.300621651966,9625.192207667098,10467.356286474933,9601.486313463798,10300.270142121613,9533.033613360398,10255.256767266485,9509.55468978101
2008-07-24,10479.44103579926,9609.692554721138,10433.644670914084,9586.024834626469,10403.916743356956,9580.99675024195,10358.450420836427,9557.3996981768
2008-07-25,10562.68380075924,9647.859541678628,10516.523655399023,9624.09782007881,10510.806036270189,9630.214078355002,10464.87259514563,9606.495808854519
2008-07-28,10551.05433821546,9642.548418895632,10504.945014946637,9618.799778064706,10483.657523555778,9617.777068840864,10437.842724579697,9594.089430470804
2008-07-29,10543.285376011096,9638.998413757814,10497.210004002332,9615.258516237607,10511.014138347213,9630.325638928689,10465.079787792449,9606.60709466549
