Date,Mean Covariance Gold30 stock-cap sweep stockcap6 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap6 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap6 zscore_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap8 zscore_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 none + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 mom_63 + asset-level daily exposure,Mean Covariance Gold30 stock-cap sweep stockcap10 zscore_63 + asset-level daily exposure
2022-10-06,1.397489133688117,2.234500353765131,2.2172841080993098,1.4076452870988798,2.5837112282690313,2.588063087560016,1.413467411016852,2.784404413366188,2.829466411842953
2022-10-07,1.3836323083382436,2.2042505816487012,2.1872674026311865,1.393660349384272,2.542259302285433,2.54654134226099,1.3995126280854748,2.7362356718168943,2.780518121264106
2022-10-10,1.3705335761366002,2.185439062061539,2.1686008209233196,1.3809690127732575,2.5285522382077987,2.53281119076805,1.3872530052545302,2.721683707194665,2.765730651840743
2022-10-11,1.3691364662647223,2.1763304475310514,2.1595623859052977,1.3805499390446714,2.5091988555077505,2.5134252103080845,1.3879798594981563,2.6983964260043996,2.742066496003794
2022-10-12,1.367906006821816,2.17628092010847,2.1595132400786614,1.3791034534773916,2.512973091775457,2.5172058036891514,1.3864085001083903,2.704691344127813,2.7484632892677303
2022-10-13,1.384632574717811,2.1995928874062862,2.1826455947148475,1.3950601493781283,2.549002940785847,2.5532963393705024,1.401256873036822,2.7424540563111766,2.78683714230072
2022-10-14,1.3715642268202373,2.170012890423553,2.1532935039367347,1.3819791081777788,2.5165445143771183,2.5207832417961296,1.3883264466268568,2.7034555510921727,2.747207496513799
2022-10-17,1.386282111891095,2.2036086686428535,2.1866304353985564,1.3963057328803714,2.5612998050064606,2.565613915744325,1.40226990126394,2.757276619968985,2.8018995900564563
2022-10-18,1.388636213949266,2.2088777137342492,2.1918588838641493,1.398198157444733,2.5732577929549607,2.5775920450617154,1.4038446581228428,2.769424711216713,2.8142442825114884
2022-10-19,1.3807437277884131,2.209548665044315,2.1925246656683948,1.3905517119291693,2.5845888395178855,2.588942177008379,1.3951256168381705,2.7855882355753248,2.8306693926894932
