,Best stock assets + Gold/BTC/BIL/IEF reoptimized Static Copula [US stock only] [mean_variance] max10 PIT reselect,Best stock assets + Gold/BTC/BIL/IEF reoptimized Dynamic HMM Copula [US stock only] [mean_variance] max10 PIT reselect
2019-08-07,11540.830191760095,11584.542800636242
2019-08-08,11858.24126717114,11903.156117650524
2019-08-09,11809.921651075083,11854.653483830058
2019-08-12,11634.584251746532,11678.651968053135
2019-08-13,11666.601184974466,11710.790170172158
2019-08-14,11358.66955679755,11401.692205206688
2019-08-15,11444.949708478818,11488.299155780374
2019-08-16,11553.645628846685,11597.40677809468
2019-08-19,11658.810317119813,11702.969793248083
2019-08-20,11641.740804631712,11685.835627445558
2019-08-21,11635.916347197699,11679.989109013723
2019-08-22,11579.05846562433,11622.915869766992
2019-08-23,11454.342426205461,11497.727449820804
2019-08-26,11520.05563314536,11563.68955529445
2019-08-27,11456.543511929065,11499.936872483582
2019-08-28,11489.43089858708,11532.948825004367
2019-08-29,11554.000163384406,11597.762655484634
2019-08-30,11565.213185234812,11609.018148321124
2019-09-02,11649.325084079455,11693.448633478443
2019-09-03,11647.640578042878,11699.32388917761
2019-09-04,11777.489588592758,11835.957108555385
2019-09-05,11904.927343656344,11961.344126023885
2019-09-06,11913.92006118366,11972.03349730674
2019-09-09,11904.113810175084,11945.719093268035
2019-09-10,11859.954055531163,11877.0967479497
2019-09-11,11957.313977784575,11962.107144860205
2019-09-12,12011.041296009664,12023.186679731833
2019-09-13,11925.716248808843,11935.018748045804
2019-09-16,11897.197360305023,11905.629868229122
2019-09-17,11941.540552229997,11955.806134711129
2019-09-18,11933.962850284648,11944.172745374328
2019-09-19,11887.201662483762,11896.093965462436
2019-09-20,11791.467020404642,11794.17429936347
2019-09-23,11808.625096868294,11813.544805406977
2019-09-24,11598.001739054078,11606.084789763858
2019-09-25,11693.591272902515,11691.776568056262
2019-09-26,11637.393172038277,11640.204315839701
2019-09-27,11451.692829865526,11451.92883268351
2019-09-30,11410.483166395132,11418.635010478298
2019-10-01,11285.210430448285,11293.272777549033
2019-10-02,11072.905596398397,11080.8162692992
2019-10-03,11219.105736399815,11227.120857177964
2019-10-04,11377.232857018644,11385.360946512827
2019-10-07,11319.451315976268,11327.538125350527
2019-10-08,11131.749333658785,11139.702045530628
2019-10-09,11213.087176376992,11221.097997393052
2019-10-10,11279.159384764807,11287.21740889516
2019-10-11,11504.873477967072,11513.092756101161
2019-10-14,11479.49002310814,11487.691166868488
2019-10-15,11706.487165017405,11714.850479413404
2019-10-16,11659.08484245038,11667.414291817428
2019-10-17,11652.052355098733,11660.376780336692
2019-10-18,11473.041773200926,11481.238310221395
2019-10-21,11578.76745053549,11587.039519785809
2019-10-22,11575.256663189271,11583.526224273137
2019-10-23,11628.021954391663,11636.32921190088
2019-10-24,11727.701304666833,11736.079774806569
2019-10-25,11913.752316524102,11922.263704684752
2019-10-28,11994.391350242222,12002.960348306002
2019-10-29,11919.063196108973,11927.57837845272
2019-10-30,11916.941677107066,11925.455343801399
2019-10-31,11850.768338674348,11859.234730005359
2019-11-01,12002.712989935693,12011.28793312102
2019-11-04,12177.036739864356,12185.736222914355
2019-11-05,12190.920774360357,12199.63017640176
2019-11-06,12172.497187965308,12181.193427881886
2019-11-07,12194.144667075618,12202.856372321045
2019-11-08,12244.182378572457,12252.929831613701
2019-11-11,12206.427423155385,12215.147903411565
2019-11-12,12223.981054545884,12232.714075416174
2019-11-13,12190.369571936295,12199.078580189269
2019-11-14,12204.46983452222,12213.188916243642
2019-11-15,12222.739706689255,12231.471840719434
2019-11-18,12358.120135550096,12366.948987671163
2019-11-19,12263.252191753565,12272.013268595085
2019-11-20,12167.758721383243,12176.451576058354
2019-11-21,12129.356562731364,12138.021982248361
2019-11-22,12164.510775243716,12173.201309530623
2019-11-25,12364.585226039553,12373.418696931694
2019-11-26,12278.579601083848,12287.35162808841
2019-11-27,12382.379999894007,12391.226183676554
2019-11-28,12403.635168758543,12412.496537596799
2019-11-29,12332.415875791867,12341.22636435069
2019-12-02,12198.998699768676,12207.71387281797
2019-12-03,12061.788276834981,12070.405424414363
2019-12-04,12162.16680060984,12170.855660321231
2019-12-05,12208.26149525523,12216.983285803843
2019-12-06,12416.41017443529,12425.280669955819
2019-12-09,12303.03056343099,12311.820058620713
2019-12-10,12344.279764532565,12353.098728856156
2019-12-11,12368.749088871235,12377.585534498108
2019-12-12,12681.922104118412,12690.982285896871
2019-12-13,12580.956805655644,12589.94485610023
2019-12-16,12702.725530763828,12711.800574865634
2019-12-17,12758.020123431026,12767.134670934352
2019-12-18,12733.094286072544,12742.191026131888
2019-12-19,12805.23154345069,12814.379819598927
2019-12-20,12868.073386955835,12877.266558390507
2019-12-23,12974.874665279985,12984.144137372226
2019-12-24,12996.92678712898,13006.212013633756
2019-12-25,12996.92678712898,13006.212013633756
2019-12-26,13102.356244282102,13111.716791391971
2019-12-27,13066.430981889274,13075.76586337803
2019-12-30,12968.62700514802,12977.892013805147
2019-12-31,12966.20521441335,12975.468492901808
2020-01-02,13347.764987553644,13356.788780772837
2020-01-03,13227.448262318687,13237.920374803309
2020-01-06,13266.940978014605,13277.738597191588
2020-01-07,13319.843865516723,13332.12504281526
2020-01-08,13461.402882966991,13474.142314697665
2020-01-09,13559.148536905239,13572.410976678322
2020-01-10,13424.118460489855,13438.938010461039
2020-01-13,13596.573289643367,13611.084207560094
2020-01-14,13569.81764943474,13581.838971439589
2020-01-15,13527.145429595237,13539.346678912767
2020-01-16,13664.367452437114,13678.26897904984
2020-01-17,13760.256494578276,13776.028124588256
2020-01-20,13778.39147333115,13794.183889158263
2020-01-21,13714.997995348713,13732.958778119377
2020-01-22,13718.546581898754,13737.443235517636
2020-01-23,13829.721732765089,13847.57725098767
2020-01-24,13694.829012861108,13714.24996919296
2020-01-27,13405.052487112287,13425.81040236707
2020-01-28,13706.58263544787,13729.963010045678
2020-01-29,13729.580794229672,13753.431646436004
2020-01-30,13886.448581280452,13910.875213241126
2020-01-31,13550.36018775029,13576.155753822884
2020-02-03,13779.12002555887,13805.351077436211
2020-02-04,14073.740277360093,14100.532192274753
2020-02-05,14105.6006461365,14132.45321303653
2020-02-06,14172.550278793513,14199.53029645122
2020-02-07,14177.781001850686,14204.77097713759
2020-02-10,14530.105295985903,14557.765984411233
2020-02-11,14526.511010732818,14554.164856784853
2020-02-12,14636.645307692657,14664.508814336343
2020-02-13,14600.600741549033,14628.395630829442
2020-02-14,14753.75506245838,14781.841508741676
2020-02-17,14752.808311205516,14780.892955176241
2020-02-18,14849.2742117653,14877.542496058284
2020-02-19,15034.909091640517,15063.530765566164
2020-02-20,14915.729276513104,14944.12407006413
2020-02-21,14666.820261322178,14694.74121145809
2020-02-24,14135.944659922037,14162.854992150933
2020-02-25,13670.297728170153,13696.32161708477
2020-02-26,13763.457627212665,13789.658862876575
2020-02-27,13140.762914677116,13165.778738117462
2020-02-28,13272.179009031364,13297.445006821172
2020-03-02,13628.512967793333,13654.457311844777
2020-03-03,13429.032481765369,13454.597078563878
2020-03-04,13856.732273368507,13883.111074223636
2020-03-05,13664.483040206278,13690.49585980868
2020-03-06,13598.176787256763,13624.063380891346
2020-03-09,12647.880837004119,12671.958370094659
2020-03-10,13095.050580797746,13119.979382527043
2020-03-11,12697.704139124697,12721.87651989928
2020-03-12,11274.436515839845,11295.899448783766
2020-03-13,12162.596640659107,12185.750347343752
2020-03-16,10828.7380967069,10849.352561945172
2020-03-17,11718.802630673386,11741.111495040293
2020-03-18,11253.258611091933,11274.681228056525
2020-03-19,11824.21700454769,11846.726544277362
2020-03-20,11726.525295689486,11748.848861548671
2020-03-23,12353.692643454911,12377.210136009307
2020-03-24,13250.865225770172,13276.090648911279
2020-03-25,12987.168129211075,13011.891557144441
2020-03-26,13487.346407550618,13513.022015473905
2020-03-27,13072.215248081287,13097.100578616779
2020-03-30,13351.360585916374,13376.777320186246
2020-03-31,13156.016645006799,13181.061506686952
2020-04-01,12994.151440945241,13018.88816287794
2020-04-02,13379.438603886942,13404.908789752028
2020-04-03,13238.218775042187,13263.420123372682
2020-04-06,13609.058673802858,13634.965983080387
2020-04-07,13421.74517580234,13447.295899893423
2020-04-08,13458.066051412952,13483.68591887245
2020-04-09,13612.593118937306,13638.50715667162
2020-04-10,13588.891893463237,13614.760811619972
2020-04-13,13815.472630178845,13841.77288582652
2020-04-14,14065.98674158848,14092.763896242785
2020-04-15,14047.050450211274,14073.791556203503
2020-04-16,14231.867932803601,14258.960872364645
2020-04-17,14017.348195263437,14044.032757631036
2020-04-20,14025.978197381479,14052.679188521952
2020-04-21,13858.953004654528,13885.336033074078
2020-04-22,14048.50993190435,14075.253816284452
2020-04-23,14029.55037480868,14056.258166236195
2020-04-24,14030.537936314258,14057.247607744057
2020-04-27,14017.974062561188,14044.659816380603
2020-04-28,13936.712792999504,13963.243851266987
2020-04-29,13981.023225980089,14007.638637186219
2020-04-30,13977.520264474797,14004.129007158932
2020-05-01,13770.944736960626,13763.15732385713
2020-05-04,14003.865211953722,13999.29073081982
2020-05-05,13953.61546975846,13969.982918362062
2020-05-06,13945.473666018395,13959.067963106094
2020-05-07,14128.198427756743,14105.933508610831
2020-05-08,14133.290525872766,14125.290809900262
2020-05-11,14165.732738376473,14172.475063485468
2020-05-12,14031.000557811656,14028.610987475558
2020-05-13,14014.627215468494,13972.159833716749
2020-05-14,14191.561609707896,14180.260993589876
2020-05-15,14354.583748849736,14335.306040488396
2020-05-18,14331.276009064484,14333.47774182935
2020-05-19,14394.81793491103,14374.245857050893
2020-05-20,14430.420153485793,14402.144918922568
2020-05-21,14177.308138765085,14163.580481955807
2020-05-22,14251.402088448312,14240.042752819962
2020-05-25,14269.311894683078,14257.938283722468
2020-05-26,14071.527775492854,14095.942213488106
2020-05-27,14031.408495924281,14083.274941560168
2020-05-28,13994.00404165376,14044.607706499444
2020-05-29,14204.429092822795,14244.686594449247
