Date,S&P 500 Buy Hold
2017-08-17,12466.748390225508
2017-08-18,12447.259566595725
2017-08-21,12457.006223563334
2017-08-22,12587.266391859981
2017-08-23,12542.137924221612
2017-08-24,12512.905137807482
2017-08-25,12542.137924221612
2017-08-28,12542.649819040698
2017-08-29,12557.008917746592
2017-08-30,12616.499178274114
2017-08-31,12692.399709028217
2017-09-01,12710.348357895311
2017-09-05,12619.064938797144
2017-09-06,12662.141336853738
2017-09-07,12660.604754335396
2017-09-08,12645.731066627159
2017-09-11,12780.611759211868
2017-09-12,12823.688157268465
2017-09-13,12829.842569891613
2017-09-14,12825.741124911325
2017-09-15,12843.005451230802
2017-09-18,12870.322673348252
2017-09-19,12883.20805381183
2017-09-20,12887.842049016183
2017-09-21,12853.315192499402
2017-09-22,12855.889035572207
2017-09-25,12829.603685642705
2017-09-26,12837.340481899586
2017-09-27,12887.32925613601
2017-09-28,12902.794766100002
2017-09-29,12948.144156765553
2017-10-02,13004.324164129652
2017-10-03,13032.15417912727
2017-10-04,13047.616994908
2017-10-05,13124.926583506216
2017-10-06,13109.979254788917
2017-10-09,13088.330594247027
2017-10-10,13122.863737191408
2017-10-11,13143.477831362094
2017-10-12,13123.893813257182
2017-10-13,13139.87031997917
2017-10-16,13157.395982074704
2017-10-17,13166.670258911015
2017-10-18,13179.555639374596
2017-10-19,13183.165844940779
2017-10-20,13251.194870275083
2017-10-23,13199.65694066511
2017-10-24,13222.850266275116
2017-10-25,13157.395982074706
2017-10-26,13174.401666801383
2017-10-27,13282.117807653283
2017-10-30,13232.64003017486
2017-10-31,13253.256818528802
2017-11-01,13270.781582563252
2017-11-02,13275.932860953208
2017-11-03,13320.257563919504
2017-11-06,13340.872556151278
2017-11-07,13331.59558513171
2017-11-08,13354.272525617203
2017-11-09,13305.8284164489
2017-11-10,13301.704519941457
2017-11-13,13314.074413341608
2017-11-14,13283.151475963408
2017-11-15,13216.664421513964
2017-11-16,13329.017251753477
2017-11-17,13289.851011665825
2017-11-20,13312.527054090233
2017-11-21,13399.625508527102
2017-11-22,13387.771102190385
2017-11-24,13418.698529874016
2017-11-27,13411.999892232685
2017-11-28,13548.05794290129
2017-11-29,13539.815538252926
2017-11-30,13658.3542132536
2017-12-01,13630.008711192551
2017-12-04,13613.514023223875
2017-12-05,13564.55173280888
2017-12-06,13567.12916812603
2017-12-07,13609.910104085295
2017-12-08,13684.125872241844
2017-12-11,13725.352264461044
2017-12-12,13749.576564197912
2017-12-13,13748.031001068708
2017-12-14,13691.85458594895
2017-12-15,13805.871523381034
2017-12-18,13893.421702544221
2017-12-19,13840.058014746177
2017-12-20,13832.809763720143
2017-12-21,13861.295363310626
2017-12-22,13857.672584889238
2017-12-26,13841.094377239553
2017-12-27,13847.831631507588
2017-12-28,13876.319925281328
2017-12-29,13824.000682526435
2018-01-02,13922.943664628077
2018-01-03,14011.006636671436
2018-01-04,14070.062235633279
2018-01-05,14163.82699751238
2018-01-08,14189.729773419198
2018-01-09,14221.847132041932
2018-01-10,14200.089806108623
2018-01-11,14303.695521369375
2018-01-12,14396.934019452014
2018-01-16,14347.719373871823
2018-01-17,14484.481504431946
2018-01-18,14460.135966448453
2018-01-19,14525.92612549507
2018-01-22,14644.031935052237
2018-01-23,14675.120115670285
2018-01-24,14669.416529712367
2018-01-25,14675.635602733711
2018-01-26,14845.54247379908
2018-01-29,14747.125755493902
2018-01-30,14595.859040331936
2018-01-31,14603.109985541229
2018-02-01,14586.528185647201
2018-02-02,14268.983664268857
2018-02-05,13672.220276423215
2018-02-06,13941.593699203431
2018-02-07,13865.96797514168
2018-02-08,13345.863979667907
2018-02-09,13546.33725786029
2018-02-12,13745.261380679125
2018-02-13,13779.452362349697
2018-02-14,13965.421055940236
2018-02-15,14143.62601144131
2018-02-16,14147.766971109386
2018-02-20,14059.185817819338
2018-02-21,13989.25290298247
2018-02-22,14007.382960188961
2018-02-23,14230.6517229302
2018-02-26,14395.902147264065
2018-02-27,14216.146240267271
2018-02-28,14072.137654803288
2018-03-01,13867.516232454138
2018-03-02,13939.003691031072
2018-03-05,14100.112257635772
2018-03-06,14135.854190802069
2018-03-07,14130.67327639627
2018-03-08,14199.050749431985
2018-03-09,14446.14956309329
2018-03-12,14428.02130200897
2018-03-13,14334.777415559814
2018-03-14,14261.213639751784
2018-03-15,14245.67089653439
2018-03-16,14261.123833643172
2018-03-19,14068.167326741572
2018-03-20,14092.088979892418
2018-03-21,14065.042972222976
2018-03-22,13713.454751192183
2018-03-23,13421.16191143322
2018-03-26,13788.351249652007
2018-03-27,13553.784878447437
2018-03-28,13513.736742373221
2018-03-29,13686.411437706
2018-04-02,13390.996937611704
2018-04-03,13562.627187901327
2018-04-04,13707.736796256888
2018-04-05,13815.919030812485
2018-04-06,13508.01878743793
2018-04-09,13574.591157690556
2018-04-10,13790.430261066369
2018-04-11,13718.137241695189
2018-04-12,13830.99747644836
2018-04-13,13790.430261066369
2018-04-16,13903.81226931057
2018-04-17,14052.563515370328
2018-04-18,14062.9657569308
2018-04-19,13984.947598135639
2018-04-20,13866.364020080662
2018-04-23,13864.286804788477
2018-04-24,13677.572720496462
2018-04-25,13711.375739777834
2018-04-26,13850.76020870941
2018-04-27,13863.764133236355
2018-04-30,13757.145423031685
2018-05-01,13781.587951612479
2018-05-02,13689.011324550307
2018-05-03,13658.84814685096
2018-05-04,13835.679966951362
2018-05-07,13882.487808820764
2018-05-08,13882.487808820764
2018-05-09,14016.672504063736
2018-05-10,14147.740927337889
2018-05-11,14190.908029564182
2018-05-14,14197.667735359371
2018-05-15,14099.893130730763
2018-05-16,14159.17863333065
2018-05-17,14147.22005190794
2018-05-18,14111.852610214557
2018-05-21,14217.954935294707
2018-05-22,14178.426776589353
2018-05-23,14217.42956955933
2018-05-24,14188.30724465879
2018-05-25,14154.498837010902
2018-05-29,13991.707303930823
2018-05-30,14178.426776589355
2018-05-31,14091.570798645735
2018-06-01,14229.91531283959
2018-06-04,14297.527637829937
2018-06-05,14307.93167551258
2018-06-06,14427.551616060937
2018-06-07,14425.994378137611
2018-06-08,14468.64060493396
2018-06-11,14487.88515594832
2018-06-12,14506.607933471647
2018-06-13,14460.322763154361
2018-06-14,14496.72477121895
2018-06-15,14478.232795394755
2018-06-18,14448.455783962438
2018-06-19,14393.075949026066
2018-06-20,14417.629837181541
2018-06-21,14327.245377230574
2018-06-22,14353.372668408923
2018-06-25,14157.978823719608
2018-06-26,14189.32474786937
2018-06-27,14071.781124552112
