Asset,Effective Weight,Date,Strategy,Case
LRCX,0.04999999999999753,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
GEV,0.049999999999997005,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
CVX,0.04999999999999667,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
PTTEP.BK,0.04342604833579872,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
BCP.BK,0.04318212639784089,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
TOP.BK,0.04298313546845142,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
HANA.BK,0.042708230012174386,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
DELTA.BK,0.04268297479801709,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
IVL.BK,0.042667984722180786,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
PTTGC.BK,0.042349500265520104,2026-04-29,One-model US cap 70% / TH cap 30% stockcap5 penalty0.02 assets50 AI-tech cap 20% + daily exposure,AI-tech cap 20%
